transaction_id,date,product_name,category,quantity,unit_price,payment_type,revenue,month,day_of_week
TXN10105,2025-01-01,Salbutamol Inhaler,Respiratory,1,6.36,OTC Sale,6.36,2025-01,Wednesday
TXN10534,2025-01-01,Amoxicillin 250mg,Antibiotics,3,3.33,NHS Prescription,9.99,2025-01,Wednesday
TXN10604,2025-01-01,Vitamin D 1000IU,Supplements,1,3.77,OTC Sale,3.77,2025-01,Wednesday
TXN11024,2025-01-01,Omeprazole 20mg,Gastro,1,2.22,Private Prescription,2.22,2025-01,Wednesday
TXN11001,2025-01-02,Salbutamol Inhaler,Respiratory,1,7.08,Private Prescription,7.08,2025-01,Thursday
TXN11099,2025-01-02,Salbutamol Inhaler,Respiratory,2,6.77,OTC Sale,13.54,2025-01,Thursday
TXN10175,2025-01-03,Ibuprofen 200mg,Pain Relief,1,1.55,OTC Sale,1.55,2025-01,Friday
TXN10157,2025-01-04,Paracetamol 500mg,Pain Relief,1,1.06,Private Prescription,1.06,2025-01,Saturday
TXN10342,2025-01-04,Cetirizine 10mg,Allergy,4,1.25,NHS Prescription,5.0,2025-01,Saturday
TXN10280,2025-01-04,Metformin 500mg,Diabetes,2,2.02,Private Prescription,4.04,2025-01,Saturday
TXN10034,2025-01-05,Cetirizine 10mg,Allergy,1,1.2,Private Prescription,1.2,2025-01,Sunday
TXN10605,2025-01-05,Salbutamol Inhaler,Respiratory,3,6.97,OTC Sale,20.91,2025-01,Sunday
TXN10193,2025-01-05,Vitamin D 1000IU,Supplements,2,3.7,NHS Prescription,7.4,2025-01,Sunday
TXN10069,2025-01-06,Ibuprofen 200mg,Pain Relief,2,1.41,Private Prescription,2.82,2025-01,Monday
TXN10991,2025-01-06,Salbutamol Inhaler,Respiratory,1,6.28,Private Prescription,6.28,2025-01,Monday
TXN10938,2025-01-06,Vitamin D 1000IU,Supplements,1,3.8,Private Prescription,3.8,2025-01,Monday
TXN10373,2025-01-06,Omeprazole 20mg,Gastro,1,2.24,OTC Sale,2.24,2025-01,Monday
TXN10650,2025-01-07,Ibuprofen 200mg,Pain Relief,3,1.55,Private Prescription,4.65,2025-01,Tuesday
TXN10499,2025-01-07,Cetirizine 10mg,Allergy,1,1.19,Private Prescription,1.19,2025-01,Tuesday
